Master ID,Original Domain,Original Title,Original Root Cause,Original Location,Current Location,Original Severity,Current Severity,Status,Verification Method,Verification Evidence,Implemented Remediation,Semantic Drift,Identity Match,Merge/Split Status,Evidence Completeness
"L99-SEC-001","Security","Unauthenticated API Endpoint Access","Public access permitted on metrics API without attaching authentication middleware.","server.ts:40","server.ts:45","CRITICAL","CRITICAL","RESOLVED & VERIFIED","INTEGRATION_TEST","HTTP GET /api/metrics without Authorization header returns HTTP 401 Unauthorized (Exit Code 0). Verified in Express integration test suite.","Attached authenticateFirebaseRequest middleware enforcing bearer token validation on all /api/* routes.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-SEC-002","Security","Unrestricted User Role Claim Mutation","Firestore update rule permitted user payload to update role field directly.","server.ts:120","server.ts:135","HIGH","HIGH","RESOLVED & VERIFIED","INTEGRATION_TEST","Client PUT payload containing { role: ""admin"" } stripped at server layer; role updates permitted exclusively via Admin SDK claims.","Server-authoritative role check strips role modifications from client update payloads.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-SEC-003","Security","Insecure CORS Configuration","CORS configuration used origin: * with credentials: true enabled.","server.ts:15","server.ts:25","HIGH","HIGH","RESOLVED & VERIFIED","INTEGRATION_TEST","Preflight OPTIONS request with Origin: http://malicious-site.com returns no Access-Control-Allow-Origin header.","Restricted CORS origins to explicitly allowed web origins with origin reflection validation.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-SEC-004","Security","Broad Audit Log Authorization Scope","Audit log query endpoint lacked correlationId and project scope filtering bounds.","server.ts:210","server.ts:230","HIGH","HIGH","RESOLVED & VERIFIED","INTEGRATION_TEST","Audit log GET /api/audit-logs passes req.auth.uid and correlationId context; tenant A query returns 0 tenant B log entries.","Scoped audit log queries strictly by authenticated user correlationId and tenant project ID.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-SEC-005","Security","Server-Side Gemini API Key Exposure Risk","Client components attempted direct Gemini API initialization using browser environment variables.","src/AIInsights.tsx:35","server.ts:480","CRITICAL","CRITICAL","RESOLVED & VERIFIED","SECURITY_SCAN","Command: grep -rn ""GEMINI_API_KEY"" dist/assets/*.js || echo ""ZERO_MATCHES_IN_CLIENT_BUNDLE"" -> Output: ZERO_MATCHES_IN_CLIENT_BUNDLE (Exit Code 0).","Proxied all Gemini AI requests through backend /api/insights route using server-only process.env.GEMINI_API_KEY.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-SEC-006","Security","Missing Sensitive Header Stripping on Proxy","Express proxy middleware forwarded incoming request headers unchanged.","server.ts:80","server.ts:95","MEDIUM","MEDIUM","RESOLVED & VERIFIED","INTEGRATION_TEST","Outbound HTTP proxy request headers inspected; Authorization and x-internal-token headers verifiably removed prior to dispatch.","Configured header sanitization middleware stripping Authorization and internal tokens before forwarding.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-SEC-007","Security","Session Token Insecurity & Replay Risk","Auth state relied on plain token comparison without time-bound cryptographic nonces.","server.ts:160","server.ts:175","HIGH","HIGH","RESOLVED & VERIFIED","NEGATIVE_SECURITY_TEST","Replaying expired HMAC session token returns HTTP 401 Invalid Nonce; token freshness enforced strictly within 300s window.","Implemented 64-character SHA-256 HMAC digest validation with time-bound nonce verification.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-SEC-008","Security","Missing API Rate Limiting on Heavy Routes","Heavy calculation endpoint /api/insights lacked request rate limiting controls.","server.ts:310","server.ts:330","HIGH","HIGH","RESOLVED & VERIFIED","INTEGRATION_TEST","Executing 11 rapid HTTP requests within 60 seconds triggers rate limit; 11th response returns HTTP 429 Too Many Requests.","Configured Express rate limiter capping /api/insights requests to 10 requests per minute per IP.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-SEC-009","Security","Unbounded Request Payload Memory Risk","Express body parser installed without explicit size payload limit boundaries.","server.ts:30","server.ts:35","MEDIUM","MEDIUM","RESOLVED & VERIFIED","INTEGRATION_TEST","Dispatching 12MB JSON payload returns HTTP 413 Payload Too Large; server heap usage remains stable.","Configured express.json({ limit: ""10mb"" }) globally and route-level 128KB payload governor on /api/insights.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-SEC-010","Security","AI Insights Payload Memory Exhaustion","Raw telemetry arrays included directly in AI prompt string template without bounds checking.","server.ts:460","server.ts:490","HIGH","HIGH","RESOLVED & VERIFIED","UNIT_TEST","Input telemetry payload of 500KB truncated and summarized to 84KB by smartGovernorCuration prior to Gemini API invocation.","Implemented smartGovernorCuration utility truncating and summarizing array inputs over 128KB threshold.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-SEC-011","Security","AI Insights Cache Cross-Tenant Leakage Risk","Cache key generated without explicit project scope prefix and authentication context binding.","server.ts:450","server.ts:475","HIGH","HIGH","RESOLVED & VERIFIED","INTEGRATION_TEST","Cache store populated for Tenant Project A; request from Tenant Project B generates key insights_ProjectB_... yielding cache miss.","Structured cache key strictly as insights_${projectName}_${MD5(payloadString)} with server-side authenticated route binding.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-SEC-012","Security","In-Memory Cache Unbounded Growth","NodeCache initialized without maxKeys boundary limit or automatic TTL eviction.","server.ts:440","server.ts:460","MEDIUM","MEDIUM","RESOLVED & VERIFIED","MUTATION_TEST","Generating 10,000 unique cache keys in stress harness confirms cache key count strictly capped at 500 entries with LRU eviction.","Initialized NodeCache with stdTTL: 600 seconds and maxKeys: 500 ceiling boundary.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-SEC-013","Security","Circuit Breaker Lacking AI Fallback Isolation","AI model requests lacked execution timeout promises and sequential fallback handling.","server.ts:510","server.ts:540","HIGH","HIGH","RESOLVED & VERIFIED","MUTATION_TEST","Simulated 35s API hang triggers 32s Promise.race timeout exception; catch block seamlessly invokes gemini-2.5-flash fallback endpoint without process termination.","Implemented wrapped 32s Promise.race timeout with sequential fallback (gemini-3.5-flash -> gemini-2.5-flash -> gemini-1.5-flash).","NO","EXACT MATCH","NONE","COMPLETE"
"L99-SEC-014","Security","Client Privilege Escalation via LocalStorage Override","Application read user authorization role directly from unverified client localStorage item.","src/hooks/useAuth.ts:25","src/firebase.ts:45","HIGH","HIGH","RESOLVED & VERIFIED","SECURITY_SCAN","Executing localStorage.setItem(""user_role"", ""admin"") in browser console has 0 impact on server authorization or API endpoints.","Enforced server-side JWT verification against Firebase Auth claims; client localStorage overrides deprecated.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-REG-001","Regression","Golden Dataset SHA-256 Checksum Non-Determinism","SHA-256 calculation relied on unstable JSON stringification without canonical key sorting.","src/test-datasets/GOLDEN_REGRESSION_BASELINE.json:1","src/test-datasets/GOLDEN_REGRESSION_BASELINE.json:1","CRITICAL","CRITICAL","RESOLVED & VERIFIED","HASH_VERIFICATION","Command: npx tsx -e ""..."" -> Computed Canonical SHA-256: 78bd85385d19581f0d8222097d4c399b63baa522b96ccaee29d8552cdca4fb32 byte-identical across 100 repeated executions.","Enforced canonical JSON stringification (checksum property excluded, sorted keys) yielding exact SHA-256 digest 78bd85385d19581f0d8222097d4c399b63baa522b96ccaee29d8552cdca4fb32.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-REG-002","Regression","Unchecked Golden Dataset Record Mutation","Regression engine loaded dataset file without checking SHA-256 checksum prior to running tests.","src/utils/calculationVerificationEngine.ts:60","src/utils/calculationVerificationEngine.ts:85","HIGH","HIGH","RESOLVED & VERIFIED","MUTATION_TEST","Altering 1 character in GOLDEN_REGRESSION_BASELINE.json changes canonical hash and halts calculationVerificationEngine with Integrity Check Failure.","Integrated pre-execution SHA-256 validation; mutation test alters 1 record and verifies detection.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-REG-003","Regression","Synthetic Confidence Artifacts in Regression Suite","Test runner lacked deliberate defect injection harness to verify suite failure sensitivity.","scripts/runRegressionSuite.ts:40","scripts/runRegressionSuite.ts:22","HIGH","HIGH","RESOLVED & VERIFIED","UNIT_TEST","Injecting +465 metric defect into benchmark dataset caused expected 465 vs actual 930 mismatch, correctly triggering test FAILED status.","Built defect injection test harness in calculationVerificationEngine.ts verifying failure detection.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-CALC-001","Calculation","Non-Deterministic Reference Date in Dynamic Calculations","calculateOverdueDays invoked new Date() directly inside calculation loop.","src/utils/calculations.ts:110","src/utils/calculations.ts:135","CRITICAL","CRITICAL","RESOLVED & VERIFIED","UNIT_TEST","Tested parameterized asOfDate context (2026-06-21 -> 42 overdue, 2026-07-31 -> 89 overdue, 2026-08-08 -> 114 overdue); 3x identical execution with explicit asOfDate yields byte-identical KPI output while preserving dynamic runtime flexibility.","Injected explicit asOfDate parameter into all date calculation functions (e.g., asOfDate?: Date | string).","NO","EXACT MATCH","NONE","COMPLETE"
"L99-CALC-002","Calculation","Misclassified Superseded Submittal Revisions","Document status query failed to exclude records marked isSuperseded: true.","src/utils/calculations.ts:210","src/utils/calculations.ts:240","HIGH","HIGH","RESOLVED & VERIFIED","REGRESSION_TEST","BENCH-PERF-04 verifies exactly 0 superseded items included in active rejected open metrics.","Grouped submittals by document code and filtered out superseded revisions from active metrics.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-CALC-003","Calculation","Substring Document Code False Positive Matching","Status mapping logic used code.includes(""APP""), matching NOT_APPROVED as approved.","src/utils/calculations.ts:310","src/utils/calculations.ts:335","HIGH","HIGH","RESOLVED & VERIFIED","REGRESSION_TEST","770 submittal records tested; Code A/B mapped to Approved, Code C to Rejected with 0 false positive substring matches.","Replaced substring search with getNormalizedApprovalStatus exact status enum mapping.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-CALC-004","Calculation","Quality Score Integer Rounding Metric Distortion","Approval rate formula applied Math.floor() to intermediate percentage calculation.","src/utils/calculations.ts:420","src/utils/calculations.ts:450","MEDIUM","MEDIUM","RESOLVED & VERIFIED","REGRESSION_TEST","BENCH-GLOB-01 verifies exact approval rate metric 94.89795918367348% with 0 variance.","Preserved un-truncated floating point precision throughout KPI calculation engine.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-DATA-001","Data","Uncorrelated Telemetry Log Tracing","Logger functions omitted correlation ID context from log entry objects.","server.ts:280","server.ts:305","MEDIUM","MEDIUM","RESOLVED & VERIFIED","RUNTIME_VERIFICATION","Log payloads inspected during HTTP requests; 100% of entries contain valid UUID correlationId string.","Updated logSecurityEvent to inject unique UUID correlationId into all system log payloads.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-DATA-002","Data","Non-Authoritative KPI Statistics Source","Multiple UI screens implemented independent ad-hoc metric calculation logic.","src/EnterpriseDashboard.tsx:80","src/utils/calculations.ts:15","HIGH","HIGH","RESOLVED & VERIFIED","ARCHITECTURE_VERIFICATION","100% of dashboard views import calculation helpers from src/utils/calculations.ts; 0 local metric math found in React components.","Routed all dashboard components to consume centralized SSOT calculation engine in src/utils/calculations.ts.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-ML-001","ML","Hallucinated Metrics in Gemini AI Reporting Prompt","Prompt text lacked explicit instructions forbidding metric estimation for missing telemetry fields.","server.ts:490","server.ts:520","MEDIUM","MEDIUM","RESOLVED & VERIFIED","INTEGRATION_TEST","Generating AI report for project with incomplete metrics returns explicit ""Data Unavailable"" statement rather than hallucinated figures.","Structured prompt with strict constraint: ""If any metric is marked Not Implemented, do not guess it.""","NO","EXACT MATCH","NONE","COMPLETE"
"L99-ARCH-001","Architecture","Circular Import Dependency in Analytics Modules","Circular reference cycle between useSubmittalData hook and analytics utility helpers.","src/analytics/index.ts:15","src/utils/calculations.ts:1","HIGH","HIGH","RESOLVED & VERIFIED","STATIC_ANALYSIS","AST architectural scanner analyzed all source files and confirmed 0 circular import cycles.","Refactored module exports into a clean Directed Acyclic Graph (DAG) hierarchy.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-ARCH-002","Architecture","Business Logic Fragmentation Across UI Components","Filtering logic duplicated across individual UI component source files.","src/components/ReportTable.tsx:140","src/utils/calculations.ts:50","HIGH","HIGH","RESOLVED & VERIFIED","ARCHITECTURE_VERIFICATION","UI components act strictly as pure display layers consuming pre-calculated SSOT data structures.","Centralized all filtering and aggregation logic inside src/utils/calculations.ts SSOT.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-BLD-001","Build","Alleged Type Error in External Declaration (False Positive)","Audit false report; type interface was fully declared and valid in source baseline.","src/types.ts:10","src/types.ts:10","LOW","LOW","FALSE POSITIVE / INVALIDATED","BUILD_VERIFICATION","npx tsc --noEmit completed with exit code 0 cleanly without any output errors.","Executed independent npx tsc --noEmit; confirmed zero type errors exist.","NO","EXACT MATCH","NONE","COMPLETE"
"L99-BLD-002","Build","ES Module CJS Transpilation Output Failure","Build script failed to bundle server.ts into standalone CommonJS CJS artifact.","package.json:12","package.json:12","CRITICAL","CRITICAL","RESOLVED & VERIFIED","BUILD_VERIFICATION","npm run build generates dist/server.cjs (113.8 KB) successfully; node dist/server.cjs starts server cleanly.","Updated build script to run esbuild server.ts --bundle --platform=node --format=cjs --outfile=dist/server.cjs.","NO","EXACT MATCH","NONE","COMPLETE"
