Test ID,Module,Test Name,Metric,Expected Value,Actual Value,Variance,Status,Evidence
"BENCH-SUB-01","Submission Layer","Active Submittals Count","totalSubmitted",770,770,0,"PASSED","Submission layer counted 770 active submittals from 780 total rows."
"BENCH-SUB-02","Submission Layer","Rev.0 Submittals Count","rev00",720,720,0,"PASSED","Submission layer identified 720 Rev.0 submittals."
"BENCH-SUB-03","Submission Layer","Further Revisions Count","furtherRevisions",50,50,0,"PASSED","Submission layer identified 50 further revisions (Rev.1 SDWs)."
"BENCH-PERF-01","Performance Layer","Unique Entities Count","totalUniqueItems",720,720,0,"PASSED","Performance layer collapsed 770 active submittals to 720 unique documents."
"BENCH-PERF-02","Performance Layer","Approved Unique Documents","approved",635,635,0,"PASSED","Performance layer computed 635 approved unique items."
"BENCH-PERF-03","Performance Layer","Open Rejected Documents","rejectedOpen",15,15,0,"PASSED","Performance layer computed 15 open rejected items."
"BENCH-PERF-05","Performance Layer","Rejected Closed Documents","rejectedClosed",0,0,0,"PASSED","Performance layer computed 0 rejected closed items."
"BENCH-SDW-01","Shop Drawings","SDW Total Active Sheets","totalSubmittedSheets",210,210,0,"PASSED","SDW Total Active: Expected 210, Computed 210."
"BENCH-SDW-02","Shop Drawings","SDW Approved Sheets","approved",140,140,0,"PASSED","SDW Approved: Expected 140, Computed 140."
"BENCH-MAR-01","MAR Module","MAR Total Submittals","totalSubmittedSheets",100,100,0,"PASSED","MAR Total: Expected 100, Computed 100."
"BENCH-GLOB-01","Global Engine","Overall Approval Rate","approvalRate",88.19444444444444,88.19444444444444,0,"PASSED","Global Approval Rate: Expected 88.19444444444444%, Computed 88.19444444444444%."
"BENCH-DISC-01","Discipline Engine","SDW Landscape Canonical Resolution","resolvedCanonical",SDW-LAND,SDW-LAND,0,"PASSED","SDW Landscape Canonical Identity: Expected 'SDW-LAND', Resolved 'SDW-LAND'."
"BENCH-DISC-02","Discipline Engine","SDW Structural Canonical Resolution","resolvedCanonical",SDW-STR,SDW-STR,0,"PASSED","SDW Structural Canonical Identity: Expected 'SDW-STR', Resolved 'SDW-STR'."
"BENCH-DISC-03","Discipline Engine","SDW Architectural Canonical Resolution","resolvedCanonical",SDW-ARC,SDW-ARC,0,"PASSED","SDW Architectural Canonical Identity: Expected 'SDW-ARC', Resolved 'SDW-ARC'."
"BENCH-DISC-04","Discipline Engine","SDW Mechanical Canonical Resolution","resolvedCanonical",SDW-MEC,SDW-MEC,0,"PASSED","SDW Mechanical Canonical Identity: Expected 'SDW-MEC', Resolved 'SDW-MEC'."
"BENCH-DISC-05","Discipline Engine","SDW Electrical Canonical Resolution","resolvedCanonical",SDW-ELE,SDW-ELE,0,"PASSED","SDW Electrical Canonical Identity: Expected 'SDW-ELE', Resolved 'SDW-ELE'."
"BENCH-DISC-06","Discipline Engine","SDW Infrastructure Canonical Resolution","resolvedCanonical",SDW-INFRA,SDW-INFRA,0,"PASSED","SDW Infrastructure Canonical Identity: Expected 'SDW-INFRA', Resolved 'SDW-INFRA'."
"BENCH-DISC-07","Discipline Engine","7619 Cumulative Discipline Invariant","cumulativeDisciplineIntegrity",1,1,0,"PASSED","Cumulative Report Discrepancy Check: STR=2423/2423, INFRA=493/493, ARC=1208/1208, MEC=1552/1552, ELE=737/737, LAND=1206/1206."
"BENCH-DISC-08","Discipline Engine","24 Monthly Discipline Invariant","monthlyDisciplineIntegrity",1,1,0,"PASSED","Monthly Report Discrepancy Check: STR=6/6, ARC=2/2, MEC=9/9, LAND=7/7."
"BENCH-PERF-04","Performance Layer","Zero Superseded Items in Rejected Open","supersededDefectCount",0,0,0,"PASSED","Audit checked 15 rejected items: 0 defect lingering items found."
